sehir,tarih,aylik_ortalama_ecopulse
Bartın,2021-02,58.76
Bartın,2021-05,51.07
Bartın,2021-06,57.38
Bartın,2021-07,48.56
Bartın,2021-08,54.58
Bartın,2021-09,60.75
Bartın,2021-10,55.26
Bartın,2021-11,55.64
Bartın,2022-04,59.31
Bartın,2022-05,54.45
Bartın,2022-06,62.32
Bartın,2022-07,49.81
Bartın,2022-08,58.06
Bartın,2022-09,57.12
Bartın,2022-10,52.13
Bartın,2022-11,61.83
Bartın,2022-12,54.96
Bartın,2023-01,56.01
Bartın,2023-03,54.69
Bartın,2023-07,47.09
Bartın,2023-08,48.64
Bartın,2023-09,50.06
Bartın,2023-10,50.35
Bartın,2023-11,51.77
Bartın,2023-12,53.61
Bartın,2024-01,56.61
Bartın,2024-02,57.41
Bartın,2024-03,54.87
Bartın,2024-04,48.76
Bartın,2024-05,47.42
Bartın,2024-06,44.44
Bartın,2024-07,49.25
Bartın,2024-08,50.07
Bartın,2024-09,55.67
Bartın,2024-10,49.5
Bartın,2024-11,59.22
Bartın,2025-01,53.03
Bartın,2025-04,56.81
Bartın,2025-05,52.68
Batman,2020-01,58.33
Batman,2020-03,55.44
Batman,2020-04,55.87
Batman,2020-05,48.23
Batman,2020-06,45.54
Batman,2020-07,46.29
Batman,2020-08,44.1
Batman,2020-09,45.11
Batman,2020-10,48.02
Batman,2020-11,58.71
Batman,2020-12,58.04
Batman,2021-01,58.34
Batman,2021-02,57.02
Batman,2021-03,56.31
Batman,2021-04,57.03
Batman,2021-05,46.29
Batman,2021-06,49.43
Batman,2021-07,45.07
Batman,2021-08,46.49
Batman,2021-09,45.86
Batman,2021-10,49.52
Batman,2021-11,51.86
Batman,2021-12,57.63
Batman,2022-01,59.31
Batman,2022-02,56.62
Batman,2022-03,59.76
Batman,2022-04,53.47
Batman,2022-05,47.74
Batman,2022-06,47.82
Batman,2022-07,42.24
Batman,2022-08,42.56
Batman,2022-09,44.11
Batman,2022-10,47.78
Batman,2022-11,50.73
Batman,2022-12,55.98
Batman,2023-01,54.59
Batman,2023-02,58.56
Batman,2023-05,52.86
Batman,2023-06,46.05
Batman,2023-07,42.03
Batman,2023-08,42.69
Batman,2023-09,45.89
Batman,2023-10,50.24
Batman,2023-11,52.76
Batman,2023-12,54.35
Batman,2024-02,56.87
Batman,2024-03,59.86
Batman,2024-04,52.85
Batman,2024-05,56.12
Batman,2024-06,43.62
Batman,2024-07,46.3
Batman,2024-08,46.58
Batman,2024-09,46.31
Batman,2024-10,49.36
Batman,2024-11,55.94
Batman,2024-12,55.88
Batman,2025-01,54.12
Batman,2025-02,55.4
Batman,2025-03,53.85
Batman,2025-04,50.32
Batman,2025-05,48.11
Bayburt,2020-01,62.08
Bayburt,2020-02,61.67
Bayburt,2020-04,55.42
Bayburt,2020-05,51.99
Bayburt,2020-06,52.4
Bayburt,2020-07,50.64
Bayburt,2020-08,48.71
Bayburt,2020-09,50.3
Bayburt,2020-10,50.58
Bayburt,2020-11,56.99
Bayburt,2020-12,59.99
Bayburt,2021-01,62.0
Bayburt,2021-02,61.47
Bayburt,2021-03,60.07
Bayburt,2021-04,57.22
Bayburt,2021-05,49.66
Bayburt,2021-06,48.42
Bayburt,2021-07,54.41
Bayburt,2021-08,51.57
Bayburt,2021-09,51.03
Bayburt,2021-10,53.1
Bayburt,2021-11,54.74
Bayburt,2021-12,60.72
Bayburt,2022-01,60.58
Bayburt,2022-02,60.76
Bayburt,2022-05,53.13
Bayburt,2022-06,54.84
Bayburt,2022-07,51.27
Bayburt,2022-08,49.14
Bayburt,2022-09,48.5
Bayburt,2022-10,52.51
Bayburt,2022-11,55.1
Bayburt,2022-12,58.99
Bayburt,2023-01,60.25
Bayburt,2023-02,60.68
Bayburt,2023-05,50.85
Bayburt,2023-06,54.6
Bayburt,2023-07,49.32
Bayburt,2023-08,48.71
Bayburt,2023-09,49.79
Bayburt,2023-10,50.48
Bayburt,2023-11,52.1
Bayburt,2023-12,61.29
Bayburt,2024-01,58.12
Bayburt,2024-02,57.64
